,Date,Debate Type,Speaker,Sents
2,3-9-16,primary_dem,RAMOS, [Speaking in Spanish]
3,3-9-16,primary_dem,SALINAS," This will be the first and only debate the candidates will do, taking into account the millions of [inaudible] voters [inaudible] Univision News, together with the Washington Post."
4,3-9-16,primary_dem,RAMOS," Here with us tonight is Karen Tumulty, Washington Post correspondent [inaudible] specialized in national policy."
5,3-9-16,primary_dem,SALINAS," Welcome, Karen."
6,3-9-16,primary_dem,SALINAS," Now, we're going to welcome the protagonists of this debate."
7,3-9-16,primary_dem,SALINAS,"First, former Secretary of State Hillary Rodham Clinton."
8,3-9-16,primary_dem,SALINAS,"[applause]

And Senator from Vermont Bernie Sanders."
9,3-9-16,primary_dem,SALINAS,"[applause]

Welcome to both of you."
10,3-9-16,primary_dem,SALINAS,Thank you for being here.
11,3-9-16,primary_dem,SALINAS,[Speaking in Spanish]
12,3-9-16,primary_dem,SALINAS, Welcome to both of you.
13,3-9-16,primary_dem,RAMOS," But before we continue, we want to welcome Sebastian de la Cruz who is going to sing the national anthem."
14,3-9-16,primary_dem,RAMOS,"Sebastian, welcome."
15,3-9-16,primary_dem,RAMOS,Good evening.
16,3-9-16,primary_dem,RAMOS,[The National Anthem is performed.]
17,3-9-16,primary_dem,RAMOS,"[applause]

[commercial break]"
18,3-9-16,primary_dem,SALINAS, Thank you for being with us.
19,3-9-16,primary_dem,SALINAS,"The Washington Post and Facebook, these are the results of this debate that the candidates have accepted."
20,3-9-16,primary_dem,SALINAS,They will have 90 seconds to answer each question.
21,3-9-16,primary_dem,SALINAS,"When their rival mentions them in an answer, they will have 30 seconds to answer and another 30 seconds to answer questions, follow-up questions that we ask."
22,3-9-16,primary_dem,RAMOS, We will make our questions in English and they will be translated simultaneously into Spanish for our viewers.
23,3-9-16,primary_dem,RAMOS,"And right now, each one of them has one minute for your initial words."
24,3-9-16,primary_dem,RAMOS,We begin with Secretary Clinton.
25,3-9-16,primary_dem,CLINTON, Thank you very much.
26,3-9-16,primary_dem,CLINTON,"I've been looking forward to this debate, and I want to thank Univision, the Washington Post, Facebook and Miami-Dade College, the largest college in North America for hosting us here this evening."
