,Date,Debate Type,Speaker,Sents
2,9-26-16,general,HOLT," Good evening from Hofstra University in Hempstead, New York."
3,9-26-16,general,HOLT,"I'm Lester Holt, anchor of ""NBC Nightly News."""
4,9-26-16,general,HOLT,I want to welcome you to the first presidential debate.
5,9-26-16,general,HOLT,The participants tonight are Donald Trump and Hillary Clinton.
6,9-26-16,general,HOLT,"This debate is sponsored by the Commission on Presidential Debates, a nonpartisan, nonprofit organization."
7,9-26-16,general,HOLT,"The commission drafted tonight's format, and the rules have been agreed to by the campaigns."
8,9-26-16,general,HOLT,"The 90-minute debate is divided into six segments, each 15 minutes long."
9,9-26-16,general,HOLT,We'll explore three topic areas tonight: Achieving prosperity; America's direction; and securing America.
10,9-26-16,general,HOLT,"At the start of each segment, I will ask the same lead-off question to both candidates, and they will each have up to two minutes to respond."
11,9-26-16,general,HOLT,"From that point until the end of the segment, we'll have an open discussion."
12,9-26-16,general,HOLT,The questions are mine and have not been shared with the commission or the campaigns.
13,9-26-16,general,HOLT,The audience here in the room has agreed to remain silent so that we can focus on what the candidates are saying.
14,9-26-16,general,HOLT,"I will invite you to applaud, however, at this moment, as we welcome the candidates: Democratic nominee for president of the United States, Hillary Clinton, and Republican nominee for president of the United States, Donald J. Trump."
15,9-26-16,general,HOLT,[applause]
16,9-26-16,general,CLINTON," How are you, Donald?"
17,9-26-16,general,CLINTON,[applause]
18,9-26-16,general,HOLT, Good luck to you.
19,9-26-16,general,HOLT,"[applause]

Well, I don't expect us to cover all the issues of this campaign tonight, but I remind everyone, there are two more presidential debates scheduled."
20,9-26-16,general,HOLT,"We are going to focus on many of the issues that voters tell us are most important, and we're going to press for specifics."
21,9-26-16,general,HOLT,"I am honored to have this role, but this evening belongs to the candidates and, just as important, to the American people."
22,9-26-16,general,HOLT,"Candidates, we look forward to hearing you articulate your policies and your positions, as well as your visions and your values."
23,9-26-16,general,HOLT,"So, let's begin."
24,9-26-16,general,HOLT,"We're calling this opening segment ""Achieving Prosperity."""
25,9-26-16,general,HOLT,And central to that is jobs.
26,9-26-16,general,HOLT,There are two economic realities in America today.
27,9-26-16,general,HOLT,"There's been a record six straight years of job growth, and new census numbers show incomes have increased at a record rate after years of stagnation."
28,9-26-16,general,HOLT,"However, income inequality remains significant, and nearly half of Americans are living paycheck to paycheck."
