,Date,Debate Type,Speaker,Sents
2,2-25-16,primary_rep,PANELISTS,"Maria Celeste Arrarás (Telemundo);
Dana Bash (CNN); and
Hugh Hewitt (Salem Radio Network)"
3,2-25-16,primary_rep,BLITZER, We're live here at the University of Houston for the 10th Republican presidential debate.
4,2-25-16,primary_rep,BLITZER,"[applause]

An enthusiastic crowd is on hand here in the beautiful opera house at the Moore School of Music."
5,2-25-16,primary_rep,BLITZER,"Texas is the biggest prize next Tuesday, Super Tuesday, when 11 states vote, a day that will go a long way towards deciding who wins the Republican nomination."
6,2-25-16,primary_rep,BLITZER,We want to welcome our viewers in the United States and around the world.
7,2-25-16,primary_rep,BLITZER,I'm Wolf Blitzer.
8,2-25-16,primary_rep,BLITZER,"This debate is airing on CNN, CNN International, and CNN in Espanol."
9,2-25-16,primary_rep,BLITZER,It's also being seen on Telemundo and heard on the Salem Radio Network.
10,2-25-16,primary_rep,BLITZER,"Telemundo and Salem are our partners in this debate, along with the Republican National Committee."
11,2-25-16,primary_rep,BLITZER,We'd also like to welcome a very special guest with us here tonight.
12,2-25-16,primary_rep,BLITZER,"Ladies and gentlemen, the 41st president of the United States, George Herbert Walker Bush and former first lady Barbara Bush."
13,2-25-16,primary_rep,BLITZER,"[applause]

Everyone here is looking forward to a lively debate."
14,2-25-16,primary_rep,BLITZER,I'll be your moderator tonight.
15,2-25-16,primary_rep,BLITZER,"Joining me in the questioning, Telemundo host Maria Celesta Arrasas, CNN Chief Political Correspondent Dana Bash; and Salem Radio Network's Hugh Hewitt, who worked in the Reagan administration for six years."
16,2-25-16,primary_rep,BLITZER,"Tonight, there are five Republican candidates and they're ready to join us right now."
17,2-25-16,primary_rep,BLITZER,Please welcome Ohio Governor John Kasich.
18,2-25-16,primary_rep,BLITZER,"[applause]

Senator Ted Cruz of Texas."
19,2-25-16,primary_rep,BLITZER,"[applause]

Businessman and real estate developer Donald Trump."
20,2-25-16,primary_rep,BLITZER,"[applause]

Senator Marco Rubio of Florida."
21,2-25-16,primary_rep,BLITZER,"[applause]

And retired neurosurgeon, Dr. Ben Carson."
22,2-25-16,primary_rep,BLITZER,"[applause]

Ladies and gentlemen, welcome the Republican candidates for president of the United States."
23,2-25-16,primary_rep,BLITZER,[applause]
24,2-25-16,primary_rep,BLITZER," Now please rise for our national anthem, performed by country music artist, Deana Carter."
25,2-25-16,primary_rep,BLITZER,[the national anthem is sung] [applause]
26,2-25-16,primary_rep,BLITZER," Thank you very much, Deana Carter."
27,2-25-16,primary_rep,BLITZER,"A beautiful, beautiful national anthem."
28,2-25-16,primary_rep,BLITZER,The final debate before Super Tuesday begins right after this quick break.
29,2-25-16,primary_rep,BLITZER,[commercial break]
30,2-25-16,primary_rep,BLITZER, Welcome back to the University of Houston and the Republican presidential debate.
31,2-25-16,primary_rep,BLITZER,"The candidates, they are now in place."
32,2-25-16,primary_rep,BLITZER,"Their positions were selected based on their standing in the delegate race through Nevada, with the top candidate in the center and the others extending outward."
33,2-25-16,primary_rep,BLITZER,I want to tell you how tonight's debate will work.
34,2-25-16,primary_rep,BLITZER,"As moderator, I will guide the discussion, asking questions and follow-ups, as will Maria Celeste, Dana Bash and Hugh Hewitt."
35,2-25-16,primary_rep,BLITZER,"Candidates, you'll have a minute and 15 seconds to answer and 30 seconds for follow-ups and rebuttals."
36,2-25-16,primary_rep,BLITZER,We have timing lights that are visible to the candidates.
37,2-25-16,primary_rep,BLITZER,"Those lights will warn you when your time is up, and as the candidates requested, a bell will sound like this."
38,2-25-16,primary_rep,BLITZER,"[bell ringing]

We know you all want to jump and debate these critically important issues, but please wait until you're called on."
39,2-25-16,primary_rep,BLITZER,These are the rules all of the candidates have agreed to.
40,2-25-16,primary_rep,BLITZER,It's time for the candidates to introduce themselves right now.
41,2-25-16,primary_rep,BLITZER,You'll each have 30 seconds.
42,2-25-16,primary_rep,BLITZER,"Dr. Carson, you're first."
43,2-25-16,primary_rep,CARSON," If someone had tried to describe today's America to you 30 years ago, you would have listened in disbelief."
44,2-25-16,primary_rep,CARSON,"Americans know that our nation is heading off the abyss of destruction, secondary to divisiveness, fiscal irresponsibility, and failure to lead."
45,2-25-16,primary_rep,CARSON,"Marco, Donald, Ted, John, we will not solve any of these problems by trying to destroy each other."
46,2-25-16,primary_rep,CARSON,What we need to do is be looking for solutions tonight.
47,2-25-16,primary_rep,CARSON,"It's not about us, it's about the American people."
48,2-25-16,primary_rep,CARSON,[applause]
49,2-25-16,primary_rep,BLITZER, Governor Kasich?
50,2-25-16,primary_rep,KASICH," Well, you know, on the way over here, even getting ready earlier and sitting in the green room and watching the early coverage, you know, my father carried mail on his back and his father was a coal miner and my mother's mother was an immigrant, could barely speak English."
51,2-25-16,primary_rep,KASICH,And I'm standing on this stage.
52,2-25-16,primary_rep,KASICH,It's pretty remarkable.
53,2-25-16,primary_rep,KASICH,"But I want to tell you, there's a lot of young people watching tonight."
54,2-25-16,primary_rep,KASICH,You can do whatever you want to do in your life.
55,2-25-16,primary_rep,KASICH,"America is an amazing country, where a kid like me can grow up to run for president of the United States and be on this stage tonight."
56,2-25-16,primary_rep,KASICH,"So to all the young people that are out there, your hopes, your dreams, pursue them."
57,2-25-16,primary_rep,KASICH,Shoot for the stars.
58,2-25-16,primary_rep,KASICH,"America's great, and you can do it."
59,2-25-16,primary_rep,KASICH,"Thank you, Wolf."
60,2-25-16,primary_rep,KASICH,[applause]
61,2-25-16,primary_rep,BLITZER, Senator Rubio?
62,2-25-16,primary_rep,RUBIO," Well, thank you."
63,2-25-16,primary_rep,RUBIO,"This election, we have to decide the identity of America in the 2ist century, but as part of this primary, we have to find out our identity as a party and as a movement."
64,2-25-16,primary_rep,RUBIO,"Thirty-six years ago, Ronald Reagan and George H.W."
65,2-25-16,primary_rep,RUBIO,Bush began the Reagan Revolution.
66,2-25-16,primary_rep,RUBIO,"For a generation, they defined conservatism as limited government and free enterprise and a strong national defense."
67,2-25-16,primary_rep,RUBIO,But they also appealed to our hopes and our dreams.
68,2-25-16,primary_rep,RUBIO,"Now we have to decide if we are still that kind of party and still that kind of movement, or if we're simply going to become a party that preys on people's angers and fears."
69,2-25-16,primary_rep,RUBIO,I hope we remain that conservative movement that appeals to our hopes and our dreams and the belief that America will always be better in its future than it's been in its story history.
70,2-25-16,primary_rep,RUBIO,[applause]
71,2-25-16,primary_rep,BLITZER, Senator Cruz?
72,2-25-16,primary_rep,CRUZ, Welcome to Texas.
73,2-25-16,primary_rep,CRUZ,"[applause]

Here, Texas provided my family with hope."
74,2-25-16,primary_rep,CRUZ,"Here, my mom became the first in her family ever to go to college."
75,2-25-16,primary_rep,CRUZ,"Here, my dad fled Cuba and washed dishes, making 50 cents an hour to pay his way through the University of Texas."
76,2-25-16,primary_rep,CRUZ,I graduated from high school at Second Baptist not too far away from here.
