,Date,Debate Type,Speaker,Sents
2,1-17-16,primary_dem,HOLT, Good evening and welcome to the NBC News Youtube Democratic candidate's debate.
3,1-17-16,primary_dem,HOLT,"After all the campaigning, soon, Americans will have their say with the first votes of the 2016 campaign just 15 days away in Iowa."
4,1-17-16,primary_dem,HOLT,And New Hampshire not far behind.
5,1-17-16,primary_dem,HOLT,Tonight will be the final opportunity to see these candidates face to face before the voting begins.
6,1-17-16,primary_dem,HOLT,Our purpose here tonight is to highlight and examine the differences among the three Democratic candidates.
7,1-17-16,primary_dem,HOLT,So let's get started.
8,1-17-16,primary_dem,HOLT,"Please welcome Secretary Hillary Clinton, Senator Bernie Sanders and Governor Martin O'Malley."
9,1-17-16,primary_dem,HOLT,"[applause]

Well, welcome to all of you."
10,1-17-16,primary_dem,HOLT,"Hope you're excited, we're excited."
11,1-17-16,primary_dem,HOLT,"We want to thank our hosts, the Congressional Black Caucus Institute."
12,1-17-16,primary_dem,HOLT,I'm joined by my colleague Andrea Mitchell tonight.
13,1-17-16,primary_dem,HOLT,The rules are simple.
14,1-17-16,primary_dem,HOLT,"Sixty seconds for answers, 30 seconds for follow-ups or rebuttals."
15,1-17-16,primary_dem,HOLT,"I know you'll all keep exactly to time, so our job should be pretty easy here tonight."
16,1-17-16,primary_dem,HOLT,We'll have questions from the Youtube community throughout the debate.
17,1-17-16,primary_dem,HOLT,This is a critical point in the race.
18,1-17-16,primary_dem,HOLT,You've been defining your differences with each other especially vigorously in the last week on the campaign trail.
19,1-17-16,primary_dem,HOLT,We're here to facilitate this conversation on behalf of the voters so that they know exactly where you stand as you face off tonight.
20,1-17-16,primary_dem,HOLT,Let's have a great debate.
21,1-17-16,primary_dem,HOLT,"We'll begin with 45 second opening statements from each candidate, starting with Secretary Clinton."
22,1-17-16,primary_dem,CLINTON," Well, good evening."
23,1-17-16,primary_dem,CLINTON,And I want to thank the Congressional Black Caucus Institute and the people of Charleston for hosting us here on the eve of Martin Luther King Day tomorrow.
24,1-17-16,primary_dem,CLINTON,"You know, I remember well when my youth minister took me to hear Dr. King."
25,1-17-16,primary_dem,CLINTON,I was a teenager.
26,1-17-16,primary_dem,CLINTON,"And his moral clarity, the message that he conveyed that evening really stayed with me and helped to set me on a path to service."
27,1-17-16,primary_dem,CLINTON,"I also remember that he spent the last day of his life in Memphis, fighting for dignity and higher pay for working people."
28,1-17-16,primary_dem,CLINTON,And that is our fight still.
29,1-17-16,primary_dem,CLINTON,"We have to get the economy working and incomes rising for everyone, including those who have been left out and left behind."
30,1-17-16,primary_dem,CLINTON,We have to keep our communities and our country safe.
31,1-17-16,primary_dem,CLINTON,We need a president who can do all aspects of the job.
32,1-17-16,primary_dem,CLINTON,I understand that this is the hardest job in the world.
33,1-17-16,primary_dem,CLINTON,I'm prepared and ready to take it on and I hope to earn your support to be the nominee of the Democratic Party and the next president of the United States.
34,1-17-16,primary_dem,CLINTON,[applause]
35,1-17-16,primary_dem,HOLT, Thank you.
36,1-17-16,primary_dem,HOLT,"Senator Sanders, your opening statement, sir."
37,1-17-16,primary_dem,SANDERS, Thank you.
38,1-17-16,primary_dem,SANDERS,"As we honor the extraordinary life of Dr. Martin Luther King Jr., it's important not only that we remember what he stood for, but that we pledge to continue his vision to transform our country."
