,Date,Debate Type,Speaker,Sents
2,3-10-16,primary_rep,TAPPER," Live from the Bank United Center on the campus of the University of Miami, this is the CNN Republican Presidential debate."
3,3-10-16,primary_rep,TAPPER,"For our viewers in the United States and around the world, welcome to Miami Florida, I'm Jake Tapper."
4,3-10-16,primary_rep,TAPPER,"In just five days voters will go to the polls here in this state as well as in Ohio, Illinois, North Carolina and Missouri."
5,3-10-16,primary_rep,TAPPER,The race for the Republican nomination for president could change dramatically.
6,3-10-16,primary_rep,TAPPER,Florida and Ohio each have a large number of delegates at stake and they award all of them to the candidate who wins.
7,3-10-16,primary_rep,TAPPER,They're a winner-take-all state.
8,3-10-16,primary_rep,TAPPER,So that's the first time that will happen in this primary season and this is the last debate before that critical round of voting.
9,3-10-16,primary_rep,TAPPER,We hope tonight the candidates will give the voters specifics on their visions for America.
10,3-10-16,primary_rep,TAPPER,So now let's welcome the candidates.
11,3-10-16,primary_rep,TAPPER,Ohio Governor John Kasich.
12,3-10-16,primary_rep,TAPPER,"[applause]

Senator Ted Cruz of Texas."
13,3-10-16,primary_rep,TAPPER,"[applause]

Real estate developer and businessman Donald Trump."
14,3-10-16,primary_rep,TAPPER,"[applause]

Senator Marco Rubio of Florida."
15,3-10-16,primary_rep,TAPPER,"[applause]

Ladies and gentlemen, the Republican candidates for president of the United States."
16,3-10-16,primary_rep,TAPPER,"[applause]

Before we begin this evening, we want to remember former first lady Nancy Reagan, who passed away this week."
17,3-10-16,primary_rep,TAPPER,Her funeral will be held tomorrow and we would like to take a moment of silence to remember Nancy Reagan.
18,3-10-16,primary_rep,TAPPER,"[moment of silence]

Now, please rise for our national anthem performed by the Frost Singers from the University of Miami."
19,3-10-16,primary_rep,TAPPER,"[the national anthem is performed] [applause]

Thanks to the Frost Singers from the University of Miami."
20,3-10-16,primary_rep,TAPPER,"Candidates, you can now take your positions behind the podiums while I briefly explain the rules."
21,3-10-16,primary_rep,TAPPER,"As moderator, I will attempt to guide the discussion, asking questions and followups."
22,3-10-16,primary_rep,TAPPER,"Joining me in the questioning this evening will be Washington Times reporter Stephen Dinan, CNN Chief Political Correspondent Dana Bash, and Salem Radio's Hugh Hewitt."
23,3-10-16,primary_rep,TAPPER,"Candidates, you have one minute and 15 seconds to answer each question, and 45 seconds to respond to followups or for rebuttals if your name is invoked."
24,3-10-16,primary_rep,TAPPER,That's longer than you've had in previous debates.
25,3-10-16,primary_rep,TAPPER,Timing lights will be visible.
